license_id,tw_product,form,ingredient
內衛藥製字第001083號,KOLIKANIN CAPSULES,膠囊劑,BROMISOVALUM ( EQ TO BROMOVALERYLUREA) ( EQ TO BROMVALETONE);;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;NOSCAPINE;;DL-METHYLEPHEDRINE HCL;;DIPHENHYDRAMINE HCL
內衛藥製字第001097號,COLFON CAPSULES,膠囊劑,HESPERIDIN (VIT P);;CHLORPHENIRAMINE MALEATE;;THIAMINE MONONITRATE;;CAFFEINE ANHYDROUS;;DEXTROMETHORPHAN HBR;;ACETAMINOPHEN (EQ TO PARACETAMOL);;SALICYLAMIDE
內衛藥製字第001109號,"THYROID TABLETS 64MG ""JOHNSON""",錠劑,THYROID
內衛藥製字第001500號,MEDICON TABLETS 15MG,錠劑,DEXTROMETHORPHAN HBR
內衛藥製字第001503號,TAEE S.C. TABLETS 5MG,糖衣錠,CHLORDIAZEPOXIDE HCL
內衛藥製字第001510號,IS-BLOOD S.C. TABLETS,糖衣錠,NIACINAMIDE (NICOTINAMIDE);;FOLIC ACID;;CYANOCOBALAMIN (VIT B12);;ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE);;PYRIDOXINE HCL;;FERROUS FUMARATE;;ASPARTATE MAGNESIUM L-;;RIBOFLAVIN (VIT B2);;THIAMINE HYDROCHLORIDE
內衛藥製字第001542號,"TETRACYCLINE HCL CAPSULES ""SYNMOSA""",膠囊劑,TETRACYCLINE (HCL)
內衛藥製字第001576號,VESTA ORAL LIQUID,口服液劑,TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;ASCORBIC ACID (VIT C);;THIAMINE HYDROCHLORIDE;;RIBOFLAVIN PHOSPHATE SODIUM
內衛藥製字第001652號,SUBITER TABLETS,錠劑,HYOSCYAMINE HYDROBROMIDE;;PHENOBARBITAL;;HYOSCYAMINE SULFATE;;ATROPINE SULFATE
內衛藥製字第001670號,NOSCAPINE TABLETS,錠劑,NOSCAPINE
內衛藥製字第001674號,"COMPOUND GLYCYRRHIZA MIXTURE (WITHOUT OPIUM) ""HEALTH""",合劑,"GLYCYRRHIZA EXTRACT;;ETHYL NITRITE SPIRIT;;CAMPHORATE TINCTURE, WITHOUT OPIUM;;ANTIMONY POTASSIUM TARTRATE"
內衛藥製字第001681號,"STREPTOMYCIN INJECTION 1GM ""TBC""",乾粉注射劑,STREPTOMYCIN (SULFATE)
內衛藥製字第001682號,VITACICOL INJECTION 500MG,注射劑,ASCORBIC ACID (VIT C)
內衛藥製字第001757號,CANBIN-C INJECTION,注射劑,CYSTEINE;;GLYCYRRHIZIN;;GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL)
內衛藥製字第001758號,DESPAS S.C. TABLETS,糖衣錠,BUTYLSCOPOLAMINE BROMIDE (EQ TO HYOSCINE-N-BUTYLBROMIDE)
內衛藥製字第001774號,"CHLORPHENIRAMINE MALEATE TABLETS 8MG ""JOHNSON",錠劑,CHLORPHENIRAMINE MALEATE
內衛藥製字第001780號,"BENTYLINE-S TABLETS ""JOHNSON""",錠劑,ALUMINUM HYDROXIDE DRIED GEL;;MAGNESIUM OXIDE;;DICYCLOMINE HCL
內衛藥製字第001783號,"UROGEN F.C. TABLETS ""JOHNSON""",膜衣錠,PHENAZOPYRIDINE HCL
內衛藥製字第001816號,"MAGNESIUM HYDROXIDE TABLETS 324MG ""JOHNSON""",錠劑,MAGNESIUM HYDROXIDE
內衛藥製字第001817號,"NOSCOTIN TABLETS 20MG ""JOHNSON""",錠劑,NOSCAPINE
內衛藥製字第001820號,"BENTYLINE TABLETS ""JOHNSON""",錠劑,ALUMINUM HYDROXIDE DRIED GEL;;MAGNESIUM OXIDE;;DICYCLOMINE HCL
內衛藥製字第001821號,"PYRIDOXINE HCL TABLETS 50MG ""JOHNSON""",錠劑,PYRIDOXINE HCL
內衛藥製字第001822號,FERROUS GLUCO-B S.C. TABLETS,糖衣錠,ASCORBIC ACID (VIT C);;FERROUS GLUCONATE;;THIAMINE (VITAMIN B1)
內衛藥製字第001870號,DABION INJECTION 25mg,注射劑,THIAMINE DISULFIDE
內衛藥製字第001878號,WESCO INJECTION,注射劑,HISTIDINE HCL
內衛藥製字第001905號,Shiny Eye Drops,點眼液劑,PYRIDOXINE HCL;;PANTOTHENYL ALCOHOL D-;;CHLORPHENIRAMINE MALEATE;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE );;CYANOCOBALAMIN (VIT B12)
內衛藥製字第001908號,Bye Bye Sarn Ointment,軟膏劑,POLYETHYLENE GLYCOL (EQ TO CARBOWAX) (EQ TO MACROGOL);;JECORIS PISCIS FORTE OIL;;SULFADIAZINE;;DIPHENHYDRAMINE HCL;;NITROFURAZONE;;ZINC OXIDE
內衛藥製字第001929號,DECASON TABLETS,錠劑,DEXAMETHASONE
內衛藥製字第001934號,UABASIN INJECTION,注射劑,OUABAIN
內衛藥製字第001976號,VAGOSTIN INJECTION,注射劑,NEOSTIGMINE METHYLSULFATE
內衛藥製字第001989號,PHENOBITAL SODIUM INJECTION,注射劑,PHENOBARBITAL
內衛藥製字第001993號,ANTALL INJECTION,注射劑,RIBOFLAVIN PHOSPHATE SODIUM;;METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;PYRIDOXINE HCL
內衛藥製字第001997號,"PROGESTERONE INJECTION 25MG ""SINTONG""",注射劑,PROGESTERONE
內衛藥製字第015651號,ASPIDO-C ORAL LIQUID,口服液劑,THIAMINE HYDROCHLORIDE;;NIACINAMIDE (NICOTINAMIDE);;CYANOCOBALAMIN (VIT B12);;PANTOTHENATE CALCIUM;;RIBOFLAVIN (VIT B2);;MALIC ACID DL-;;ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE);;ASPARTATE MAGNESIUM L-;;PYRIDOXINE(VITAMIN B6);;ASCORBIC ACID (VIT C)
內衛藥製字第015681號,NOSCAPINE TABLETS,錠劑,NOSCAPINE
內衛藥製字第015685號,INDERSHIN CAPSULES,膠囊劑,INDOMETHACIN (eq to Indometacin)
內衛藥製字第015737號,"SOLUTIO NATRII CHLORIDI ISOTONICA ""CHI SHENG""",注射劑,SODIUM CHLORIDE
內衛藥製字第015750號,BROWN MIXTURE OPIUM TABLETS,錠劑,GLYCYRRHIZA EXTRACT;;OPIUM
內衛藥製字第016157號,IMINE F.C. TABLETS,膜衣錠,IMIPRAMINE HCL
內衛藥製字第016158號,WEIZEL S.C. TABLETS,糖衣錠,VITAMIN U (METHYLMETHIONINE SULFONIUM CHLORIDE)
內衛藥製字第016166號,"COMPOUND ZINC UNDECYLENATE OINTMENT ""JEN SHENG""",軟膏劑,UNDECYLENIC ACID;;UNDECYLENATE ZINC
內衛藥製字第016183號,"HYDROPHILIC OINTMENT ""N.Y.""",軟膏劑,"STEARYL ALCOHOL;;WHITE SOFT PARAFFIN (EQ TO WHITE PETROLATUM)(EQ TO PARAFFIN WHITE SOFT);;PROPYLENE GLYCOL (EQ TO 1,2-DIHYDROXYPROPANE)(EQ TO 1,2-PROPANEDIOL)"
內衛藥製字第016234號,FUDECHAN S.C. TABLETS 25MG,糖衣錠,BENZYDAMINE HCL
內衛藥製字第016524號,ENITOL F.C. TABLETS,膜衣錠,ANETHOLE TRITHIONE
內衛藥製字第016526號,BIDYL SUPPOSITORIES,栓劑,BISACODYL
內衛藥製字第016528號,"NOSCAPINE TABLETS ""LITA""",錠劑,NOSCAPINE
內衛藥製字第016564號,PANKERFUCHU OINTMENT,軟膏劑,UNDECYLENATE ZINC;;UNDECYLENIC ACID
內衛藥製字第016799號,VITAMIN K1 TABLETS,錠劑,PHYTOMENADIONE(VIT K1)
內衛藥製字第016803號,WINTEN CAPSULES,膠囊劑,PYRIDOXINE HCL;;DIMENHYDRINATE;;CAFFEINE ANHYDROUS
內衛藥製字第016807號,INMYLAN TABLETS,錠劑,NALIDIXIC ACID
內衛藥製字第016863號,NEW 1-TEN-RIN B12,點眼液劑,CHLORPHENIRAMINE MALEATE;;PANTHENOL;;CYANOCOBALAMIN (VIT B12);;PYRIDOXINE HCL;;CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE )
內衛藥製字第016905號,STOMALLIN TABLETS,糖衣錠,METOCLOPRAMIDE
內衛藥製字第016925號,ANTOCHIN CAPSULES,膠囊劑,INDOMETHACIN (eq to Indometacin)
衛部成製字第016842號,Corol Oral Rinse Solution 0.12%,外用液劑,CHLORHEXIDINE GLUCONATE (20%)
衛部成製字第016842號,Corol Oral Rinse Solution 0.12%,外用液劑,CHLORHEXIDINE GLUCONATE (20%)
衛部成製字第016844號,Estrong Ethanol 75%,外用液劑,ALCOHOL 95% ( EQ TO ETHANOL 95%)
衛部成製字第016845號,Shallclean Gargle Solution (Chlorhexidine),外用液劑,CHLORHEXIDINE GLUCONATE
衛部成製字第016846號,"E-cosu Medicinal Mouthwash 0.12% ""WTF"" (Chlorhexidine)",外用液劑,20% CHLORHEXIDINE GLUCONATE SOLUTION
衛部成製字第016942號,"Wenbi Repellent solution ""C.M.""",外用液劑,DIETHYLTOLUAMIDE
衛部成製字第016943號,Little Flower Repellent Solution,外用液劑,DIETHYLTOLUAMIDE;;DIETHYLTOLUAMIDE;;DIETHYLTOLUAMIDE
衛部成製字第016944號,"SM Insect Repellent Solution 120mg/ml ""Onpylu"" (Diethyltoluamide)",外用液劑,"N,N-DIETHYL-META-TOLUAMIDE (DEET)"
衛部成製字第016945號,"Mosquito Guard Solution 120mg/ml ""Omi-Brotherhood"" (Diethyltoluamide)",外用液劑,DIETHYLTOLUAMIDE
衛部成製字第016946號,THROUGH Glycerin Enema,浣腸劑,SODIUM CHLORIDE;;GLYCERIN (eq to GLYCEROL)
衛部成製字第016947號,"Fu Skin Ointment ""Patron""",軟膏劑,CAMPHOR;;EUCALYPTUS OIL (OLEUM EUCALYPTI);;METHYL SALICYLATE;;MENTHOL
衛部成製字第017109號,"Cleaning Alcohol 75% ""J.C.R.""",外用液劑,ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)
衛部成製字第017110號,"Je Sula Enema ""Guo Pin""",浣腸劑,SODIUM CHLORIDE
衛部成製字第017111號,Cleanly Saline Enema,浣腸劑,SODIUM CHLORIDE
衛部成製字第017112號,GERM CONTROL 75% Medical Sterilization & Disinfectants Solution,外用液劑,ALCOHOL 95% ( EQ TO ETHANOL 95%);;ALCOHOL 95% ( EQ TO ETHANOL 95%)
衛部成製字第017113號,Kwaiton 50% Glycerine Enema,浣腸劑,GLYCERIN (eq to GLYCEROL)
衛部成製字第017114號,"Ton Son Enema ""Welcan""",浣腸劑,SODIUM CHLORIDE
衛部成製字第017224號,Lichang Enema,浣腸劑,SODIUM CHLORIDE
衛部成製字第017225號,Oralwave Gargle,外用液劑,20% CHLORHEXIDINE GLUCONATE SOLUTION
衛部成製字第017226號,Zoin Enema,浣腸劑,SODIUM CHLORIDE
衛部成製字第017227號,Shield protection 75% alcohol hand sanitizer,外用液劑,ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL)
衛部成製字第017228號,Parmason gargle solution,外用液劑,20% CHLORHEXIDINE GLUCONATE SOLUTION
衛部成製字第017229號,"Jie Jing Sterilizing liquid ""Sentai""",外用液劑,ALCOHOL 95% ( EQ TO ETHANOL 95%)
衛部成輸字第001001號,Ichijiku Enema 30E,浣腸劑,GLYCERIN (eq to GLYCEROL)
衛部藥陸輸字第001176號,Tenofovir Disoproxil Fumarate,（粉）,
衛部藥陸輸字第001177號,Levonorgestrel,粉劑,
衛部藥陸輸字第001178號,Cefazolin Sodium,（粉）,
衛部藥陸輸字第001179號,Brivaracetam,（粉）,
衛部藥陸輸字第001180號,Vildagliptin,（粉）,
衛部藥陸輸字第001181號,Dapagliflozin Propanediol Monohydrate,（粉）,
衛部藥陸輸字第001182號,Acemetacin,（粉）,
衛部藥陸輸字第001183號,Ticagrelor,（粉）,
衛部藥陸輸字第001184號,Amantadine Hydrochloride,（粉）,
衛部藥陸輸字第001185號,Linagliptin,（粉）,
衛部藥陸輸字第001186號,Azilsartan Kamedoxomil,（粉）,
衛部藥陸輸字第001187號,Irbesartan,（粉）,
衛部藥陸輸字第001188號,Linezolid,（粉）,
衛部藥陸輸字第001189號,Norethindrone,粉劑,
衛部藥陸輸字第001190號,Carbocisteine,（粉）,
衛部藥陸輸字第001191號,Tadalafil,（粉）,
衛部藥陸輸字第001192號,Febuxostat,（粉）,
衛部藥陸輸字第001193號,Lysine Acetylsalicylate with 10% Glycine,（粉）,
衛部藥陸輸字第001194號,Varenicline Tartrate,（粉）,
衛部藥陸輸字第001195號,Naftifine Hydrochloride,（粉）,
衛部藥陸輸字第001196號,Lidocaine Hydrochloride,粉劑,
衛部藥陸輸字第001197號,Agomelatine,（粉）,
衛部藥陸輸字第001198號,Heparin Sodium,（粉）,
衛部藥陸輸字第001199號,Ursodeoxycholic Acid,（粉）,
衛部藥陸輸字第001200號,Cephalexin Monohydrate,（粉）,
衛部藥陸輸字第001201號,Dabigatran Etexilate Mesylate,（粉）,
衛部藥陸輸字第001202號,Aceclofenac,（粉）,
衛部藥陸輸字第001203號,Prilocaine,（粉）,
衛部藥陸輸字第001204號,Bupropion Hydrochloride,（粉）,
衛部藥陸輸字第001205號,Heparin Sodium,（粉）,
衛部藥陸輸字第001206號,Apixaban,（粉）,
衛部藥陸輸字第001207號,Diclofenac Potassium,（粉）,
衛部藥陸輸字第001208號,Levetiracetam,（粉）,
衛部藥陸輸字第001209號,Rosuvastatin Calcium,（粉）,
衛部藥陸輸字第001210號,Fenofibrate,（粉）,
衛部藥陸輸字第001211號,Sulbactam sodium,（粉）,
衛部藥陸輸字第001212號,Simvastatin,（粉）,
衛部藥陸輸字第001213號,Ginkgo Biloba Dry Extract,（粉）,
衛部藥陸輸字第001214號,Oxacillin sodium,（粉）,
衛部藥陸輸字第001215號,Acarbose,（粉）,
衛部藥陸輸字第001216號,Estradiol Hemihydrate,（粉）,
衛部藥陸輸字第001217號,Amantadine Hydrochloride,（粉）,
衛部藥陸輸字第001218號,Mebendazole,（粉）,
衛部藥陸輸字第001219號,Acetylcysteine,（粉）,
衛部藥陸輸字第001220號,Folic Acid Hydrate,（粉）,
衛部藥陸輸字第001221號,Sitagliptin Phosphate Monohydrate,（粉）,
衛部藥陸輸字第001222號,Valaciclovir Hydrochloride Hydrate,（粉）,
衛部藥陸輸字第001223號,"Ginkgo Dry Extract, Refined and Quantified",（粉）,
衛部藥陸輸字第001225號,Ramipril,（粉）,
衛部藥陸輸字第001226號,"Ginkgo Dry Extract, Refined and Quantified",（粉）,
衛部藥陸輸字第001227號,Candesartan cilexetil,（粉）,
衛部藥陸輸字第001228號,Benidipine HCl,（粉）,
衛部藥陸輸字第001229號,Vortioxetine Hydrobromide,（粉）,
衛部藥陸輸字第001230號,Pazopanib Hydrochloride,（粉）,
衛部藥陸輸字第001231號,Heparin Sodium,（粉）,
衛部藥陸輸字第001232號,Dimenhydrinate,（粉）,
衛部藥陸輸字第001233號,Duloxetine Hydrochloride,（粉）,
衛部藥陸輸字第001234號,Fusidic acid,（粉）,
衛部藥陸輸字第001237號,Sulbactam Sodium,（粉）,
衛部藥陸輸字第028962號,Dapagliflozin Propanediol Monohydrate,（粉）,
衛部藥製字第058036號,ABIMAY Tablets 15mg,錠劑,ARIPIPRAZOLE
衛部藥製字第058037號,"BOCA Calcium emulsion ""LONG LIFE""",內服乳劑,VITAMIN A (VITAMIN A + VITAMIN D3);;VITAMIN A WATER MISCIBLE;;CALCIUM PHOSPHATE TRIBASIC (CALCIUM PHOSPHATE)
衛部藥製字第058038號,Zaprinse F.C. Tablets 5mg (Olanzapine),膜衣錠,OLANZAPINE
衛部藥製字第058039號,"LAVIDINE F.C. Tablets 100mg ""Purzer""",膜衣錠,LAMIVUDINE
衛部藥製字第058041號,Atoty F.C. Tablets 40mg,膜衣錠,ATORVASTATIN CALCIUM
衛部藥製字第058044號,Lflocin F.C. Tablets 100mg,膜衣錠,LEVOFLOXACIN HEMIHYDRATE
衛部藥製字第058045號,Gincare Injection,注射劑,GINKGO BILOBA EXTRACT
衛部藥製字第058059號,Santone Ophthalmic Solution 0.3%,點眼液劑,ATROPINE SULFATE
衛部藥製字第058060號,"Vitamin B Complex S.C. Tablets ""F.Y.""",糖衣錠,RIBOFLAVIN (VIT B2);;THIAMINE DISULFIDE;;PYRIDOXINE HCL;;CYANOCOBALAMIN (VIT B12)
衛部藥製字第058061號,"Denset S.C. Tablets ""Bora""",糖衣錠,FLUPENTIXOL 2HCL ( EQ TO FLUPENTIXOL DIHYDROCHLORIDE) (EQ TO FLUPENTHIXOL DIHYDROCHLORIDE);;MELITRACEN HCL ( EQ TO MELITRACENE HYDROCHLORIDE)
衛部藥製字第058063號,CanLeaver F.C. Tablets 0.5mg,膜衣錠,ENTECAVIR MONOHYDRATE
衛部藥製字第058064號,"Diyaval F.C. Tablets 80mg ""S.C.""",膜衣錠,VALSARTAN
衛部藥製字第058065號,"Doce Injection 20mg/ml, 1ml/vial",注射劑,DOCETAXEL ANHYDROUS
衛部藥製字第058066號,Isotera Injection Concentrate 20mg/ml,注射劑,DOCETAXEL
衛部藥製字第058067號,Rosutor Film-Coated Tablets 10mg,膜衣錠,ROSUVASTATIN CALCIUM
衛部藥製字第059829號,"""BenQ"" A62 Hemodialysis Concentrate",透析用液劑,ACETIC ACID GLACIAL( eq to GLACIAL ACETIC ACID);;DEXTROSE MONOHYDRATE;;MAGNESIUM CHLORIDE HEXAHYDRATE (EQ TO MAGNESIUM CHLORIDE 6H2O);;POTASSIUM CHLORIDE;;CALCIUM CHLORIDE DIHYDRATE;;SODIUM CHLORIDE
衛部藥製字第059830號,SAUA F.C. Tablets 5mg,膜衣錠,MOSAPRIDE CITRATE DIHYDRATE
衛部藥製字第059831號,Lefxin IV Solution for Infusion 5mg/ml,注射劑,LEVOFLOXACIN HEMIHYDRATE
衛部藥製字第059832號,"Silafi F.C. Tablets 100mg ""B.H.""",膜衣錠,SILDENAFIL CITRATE
衛部藥製字第059834號,Vitaplex-A Injection,注射劑,NICOTINAMIDE;;DEXTROSE;;THIAMINE HYDROCHLORIDE;;RIBOFLAVIN PHOSPHATE SODIUM;;ASCORBIC ACID (VIT C);;PANTHENOL D- (EQ TO D-PANTHENOL);;PYRIDOXINE HCL
衛部藥製字第059848號,"Resculyte Injection ""TBC""",注射劑,SODIUM CHLORIDE;;SODIUM GLUCONATE;;TROMETHAMINE ( EQ TO TROMETAMOL)( EQ TO TROMETHAMOL);;MAGNESIUM CHLORIDE HEXAHYDRATE (EQ TO MAGNESIUM CHLORIDE 6H2O);;ACETIC ACID GLACIAL( eq to GLACIAL ACETIC ACID);;POTASSIUM CHLORIDE;;SODIUM ACETATE TRIHYDRATE (EQ TO SODIUM ACETATE 3H2O )
衛部藥製字第059849號,Onlee F.C. Tablets 50mg,膜衣錠,SILDENAFIL CITRATE
衛部藥製字第059850號,"Boken Capsules 200mg ""T.F.""",膠囊劑,ETODOLAC
衛部藥製字第059851號,Mentholatum Deep Heating Pain Relief Plaster,藥膠布,GLYCOL SALICYLATE;;L-MENTHOL ;;TOCOPHEROL ACETATE ALPHA DL-
衛部藥製字第059852號,Zelnite®,注射液劑,Sodium selenite pentahydrate
衛部藥製字第059855號,Tylin Lyophilized Powder for Injection 50mg,凍晶注射劑,TIGECYCLINE
衛部藥製字第059868號,Esvatin Vaginal Tablets,陰道錠,ESTRIOL
衛部藥製字第059872號,Fofnir F.C. Tablets 300mg,膜衣錠,TENOFOVIR DISOPROXIL FUMARATE
衛部藥製字第059876號,"Ganmon Hot Remedy Granules ""C.A.""",內服顆粒劑,DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE;;ACETAMINOPHEN (EQ TO PARACETAMOL);;CHLORPHENIRAMINE MALEATE;;DL-METHYLEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS
衛部藥製字第059879號,Renosol B21 Hemodialysis powder,透析用粉劑,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE)
衛部藥製字第059880號,Erythrocin Ophthalmic Ointment,眼用軟膏劑,ERYTHROMYCIN
衛部藥製字第059882號,"Capsaicin Pain Relief Patch ""T.S.""",貼布劑,CAPSAICIN
衛部藥製字第059884號,"Qting Oral Suspension ""CENTER""",懸液劑,QUETIAPINE FUMARATE
衛部藥製字第059891號,Nazoline Duo Nasal Spray,鼻用噴液劑,Ipratropium bromide (monohydrate);;XYLOMETAZOLINE HCL
衛部藥製字第059892號,"Treprostinil Diolamine ""Everlight""",（粉）,
衛部藥製字第059893號,"Jhih Suan Tong Patch 5% ""T.S.""",藥膠布,L-MENTHOL
衛部藥製字第059894號,Esocomfort E.F.C. Tablets 40mg,膜衣錠,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE
衛部藥製字第059895號,Barazer F.C. Tablets 0.5mg,膜衣錠,ENTECAVIR MONOHYDRATE
衛部藥製字第059902號,Genlease Tablets 2mg,錠劑,DOXAZOSIN MESYLATE
衛部藥製字第060104號,Ectrin Capsules 300mg,膠囊劑,ERDOSTEINE
衛部藥製字第060105號,Closian Tablets 25mg,錠劑,CLOZAPINE
衛部藥製字第060106號,Bladerin film-coated tablets 5mg,膜衣錠,SOLIFENACIN SUCCINATE
衛部藥製字第060109號,BARAVIR F.C. Tablets 1mg,膜衣錠,ENTECAVIR MONOHYDRATE
衛部藥製字第060110號,MO SOU YI Oral Solution 0.8mg/ml,內服液劑,BUTAMIRATE CITRATE
衛部藥製字第060111號,"Golden GI Powder ""H.C.T.""",散劑,HYDRANGEAE DULCIS FOLIUM;;PIPERIS NIGRI FRUCTUS;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CINNAMON (CINNAMON CORTEX ) (CINNAMON BARK);;CARYOPHILLI FLORES;;COPTIS RHIZOMA;;GLYCYRRHIZA RADIX;;GENTIANA SCABRAE RADIX;;GAMBIR
衛部藥製字第060129號,LeaFlex Emulgel,乳膠劑,DICLOFENAC DIETHYLAMINE
衛部藥製字第060130號,"Sinlukast Chewable Tablets 4mg ""Kingdom""",咀嚼錠,MONTELUKAST SODIUM
衛部藥製字第060131號,Urona Injection 100mg/ml (mesna),注射液劑,MESNA (SOD. 2-MERCAPTOETHANESULPHONATE)
衛部藥製字第060133號,Pardone Extended-Release Tablets 6mg,持續性膜衣錠,PALIPERIDONE
衛部藥製字第060134號,Temilg F.C. Tablets 2/500mg,膜衣錠,METFORMIN HCL (EQ TO METFORMIN HYDROCHLORIDE);;GLIMEPIRIDE
衛部藥製字第060151號,"Oxacillin for Injection ""Gentle""",乾粉注射劑,OXACILLIN SODIUM;;OXACILLIN SODIUM
衛部藥製字第060152號,Methydur Sustained Release Capsules 33mg,持續性藥效膠囊劑,METHYLPHENIDATE HCL;;METHYLPHENIDATE HCL
衛部藥製字第060153號,Methydur Sustained Release Capsules 44 mg,持續性藥效膠囊劑,METHYLPHENIDATE HCL;;METHYLPHENIDATE HCL
衛部藥製字第060154號,"Subilin Tablets 30mg ""Kojar""",錠劑,PSEUDOEPHEDRINE HCL
衛部藥製字第060155號,OKmilon Injection,注射劑,PALONOSETRON (AS HYDROCHLORIDE)
衛部藥製字第060167號,Oxbulong SR Tablets 5mg,緩釋錠,OXYBUTYNIN CHLORIDE (EQ TO OXIBUTININA HCL )
衛部藥製字第060168號,Uwarin Tablets 5mg,錠劑,WARFARIN SODIUM
衛部藥製字第060172號,"""Estrong"" No.8 Hemodialysis Concentrate RS352(A) & ""Estrong"" No.8 Bicarbonate Concentrates Powder, RSP-10(B)",透析用液劑+透析用粉劑,CALCIUM CHLORIDE DIHYDRATE;;ACETIC ACID GLACIAL( eq to GLACIAL ACETIC ACID);;DEXTROSE MONOHYDRATE;;POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;MAGNESIUM CHLORIDE HEXAHYDRATE (EQ TO MAGNESIUM CHLORIDE 6H2O);;SODIUM CHLORIDE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;CALCIUM;;MAGNESIUM;;DEXTROSE;;BICARBONATE;;POTASSIUM;;SODIUM;;ACETATE;;CHLORIDE
